"","id","name","tool","adoption","downloads","month","qa","info","popularity"
"1",1,"0model","codacy","2015-12-01 03:57:47",53,"2015-03-01 00:00:00",0,0,0
"2",2,"0model","codacy","2015-12-01 03:57:47",23,"2015-04-01 00:00:00",0,0,0
"3",3,"0model","codacy","2015-12-01 03:57:47",5,"2015-05-01 00:00:00",0,0,0
"4",4,"0model","codacy","2015-12-01 03:57:47",11,"2015-06-01 00:00:00",0,0,0
"5",5,"0model","codacy","2015-12-01 03:57:47",14,"2015-07-01 00:00:00",0,0,0
"6",6,"0model","codacy","2015-12-01 03:57:47",12,"2015-08-01 00:00:00",0,0,0
"7",7,"0model","codacy","2015-12-01 03:57:47",14,"2015-09-01 00:00:00",0,0,0
"8",8,"0model","codacy","2015-12-01 03:57:47",9,"2015-10-01 00:00:00",0,0,0
"9",9,"0model","codacy","2015-12-01 03:57:47",15,"2015-11-01 00:00:00",0,0,0
"10",10,"0model","codacy","2015-12-01 03:57:47",656,"2015-12-01 00:00:00",0,0,0
"11",11,"0model","codacy","2015-12-01 03:57:47",201,"2016-01-01 00:00:00",0,0,0
"12",12,"0model","codacy","2015-12-01 03:57:47",369,"2016-02-01 00:00:00",0,0,0
"13",13,"0model","codacy","2015-12-01 03:57:47",425,"2016-03-01 00:00:00",0,0,0
"14",14,"0model","codacy","2015-12-01 03:57:47",692,"2016-04-01 00:00:00",0,0,0
"15",15,"0model","codacy","2015-12-01 03:57:47",184,"2016-05-01 00:00:00",0,0,0
"16",16,"0model","codacy","2015-12-01 03:57:47",60,"2016-06-01 00:00:00",0,0,0
"17",17,"0model","codacy","2015-12-01 03:57:47",86,"2016-07-01 00:00:00",0,0,0
"18",18,"0model","codacy","2015-12-01 03:57:47",449,"2016-08-01 00:00:00",0,0,0
"19",19,"0model","codacy","2015-12-01 03:57:47",297,"2016-09-01 00:00:00",0,0,0
"20",20,"1stand15th","travis","2016-10-27 07:27:25",26,"2016-01-01 00:00:00",1,0,0
"21",21,"1stand15th","travis","2016-10-27 07:27:25",35,"2016-02-01 00:00:00",1,0,0
"22",22,"1stand15th","travis","2016-10-27 07:27:25",46,"2016-03-01 00:00:00",1,0,0
